Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,471-UL_Alaal_South_PD_Fiber_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,473-UL_Ibdar_CTR_PF_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,472-UL_Soum_North_PF_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,2921-UL_Ramtha_Deewan_Samarah_PF_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,1913-UL_Ghwereieh_2_PE_EBand_TASC,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,470-UL_Hubras_Qsayreen_PE_Fiber_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,475-UL_Yarmouk_Hospital_Ent_PE_Fiber_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,1915-UL_Jabal_Mughayer_Badi_CRL_PE_Fiber_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,5660-UL_P_dabouq_VIP,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,2030-UL_Movenpick_Amman_PF_IBS_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,61277-T_Aqaba_Kuwait_St_PD_Fiber_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,61273-T_8th_Ave_Market_PD_Fiber_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,61276-T_9th_Ave_Aqaba_2_PE_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:05 +03:00",NE License Management,192.168.27.31,4730-UL_Kibar_Factory_PF_M,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:04 +03:00",NE License Management,192.168.27.31,4818-ULT_Marbat_Bridge_PE_Fiber_TASC_Relo_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:04 +03:00",NE License Management,192.168.27.31,1029-UL_Zarqa_Uni_Rd_PD_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
Export NE SBOM statistics,Minor,basharad,"	16/09/2025 12:02:04 +03:00",NE License Management,192.168.27.31,3832-UL_Qastal_Ent_MGS_PE_Fiber_TASC_O,Successful,"Product: LTE,Pico,AtomCell,USU,USU3910,DBS3900 IBS,eRelay,RANCU LTE 
Task ID : 1459603"
